ABNB
Date,Open,High,Low,Close,Adjusted_close,Volume
2024-03-14,165.74,166.7199,162.72,166.44,166.44,5078143
2024-03-15,166.39,166.5225,160.16,160.64,160.64,7153845
2024-03-18,161.945,162.87,160.6,161.86,161.86,4296942
2024-03-19,161.49,164.0999,161.055,161.79,161.79,3420732
2024-03-20,162.39,165.75,162.265,164.71,164.71,4766298
2024-03-21,165.81,170.1,165,168.18,168.18,5986505
2024-03-22,167,168.8,166.6401,167.86,167.86,2837023
2024-03-25,167.86,169.08,166.28,167.99,167.99,3216070
2024-03-26,169.69,170,167.32,167.39,167.39,2747663
2024-03-27,169.11,169.11,165.5,166.41,166.41,3921949
2024-03-28,166.57,167.38,164.59,164.96,164.96,3415958
2024-04-01,166.43,166.72,162.75,163.37,163.37,2496282
2024-04-02,160.95,160.98,158.68,160.11,160.11,4000867
2024-04-03,158.75,161.33,158.58,159.34,159.34,2288078
2024-04-04,161.22,163.65,158.52,158.84,158.84,3539700
2024-04-05,159.15,162.71,158.9,161.77,161.77,2225889
2024-04-08,160.36,161.18,159.29,160.27,160.27,2299005
2024-04-09,161.55,163.205,159.91,162.66,162.66,2290960
2024-04-10,159.63,160.96,158.63,160.28,160.28,2478757
2024-04-11,159,166.22,158.9,165.42,165.42,3580302
2024-04-12,162.42,162.7123,158.78,159.37,159.37,3700504
2024-04-15,161.81,162.9,154.41,155.6,155.6,3723317
2024-04-16,155.83,158.94,155.3,156.66,156.66,2728607
2024-04-17,158.45,159.7,156.41,158.37,158.37,3905042
2024-04-18,159.6,162.94,159.21,160.1,160.1,3930357
2024-04-19,159.54,160.335,154.56,155.01,155.01,3904759
2024-04-22,156.19,157.25,153.765,156.61,156.61,3029952
2024-04-23,157.24,161.14,156.7,160.95,160.95,3455413
2024-04-24,164.475,166.7446,161.09,162.84,162.84,3854493
2024-04-25,161.51,163.73,159.5,163.01,163.01,2401828
2024-04-26,163.68,165.16,162.77,164.23,164.23,2821077
2024-04-29,164.75,165.5,161.28,162.25,162.25,2312554
2024-04-30,160.56,162.09,158.52,158.57,158.57,3017911
2024-05-01,157.58,160.95,156,156.16,156.16,2752108
2024-05-02,157.21,158.4,153.2,158.33,158.33,4778430
2024-05-03,161.81,165.5,159.15,159.71,159.71,4529908
2024-05-06,161,162.41,160.17,162,162,2912176
2024-05-07,161.81,162.88,159.75,159.81,159.81,2916232
2024-05-08,157.1,158.62,155.84,157.9,157.9,8236465
2024-05-09,146.6,150.005,145.5701,147.05,147.05,14802560
2024-05-10,147.75,148.12,144.63,146.32,146.32,5524840
2024-05-13,147.05,149.24,145.7,149.13,149.13,5647508
2024-05-14,149.4,149.4,146.31,146.7,146.7,4167440
2024-05-15,147.57,147.69,144.75,145.8,145.8,5996014
2024-05-16,146.34,147.79,145.85,147.19,147.19,3827765
2024-05-17,146.81,147.495,145.305,145.66,145.66,3279035
2024-05-20,146.18,146.48,145.21,146.37,146.37,3747439
2024-05-21,145.71,145.71,144.09,144.1,144.1,4484983
2024-05-22,143.94,144.21,142.36,142.71,142.71,3190821
2024-05-23,142.58,143.44,140.82,141.04,141.04,3900851
2024-05-24,142.5,145.97,142.3,144.47,144.47,4497760
2024-05-28,146,147.87,145.11,147.01,147.01,5741611
2024-05-29,144.88,147.13,144.7342,146.61,146.61,2570900
2024-05-30,145.4,147.59,144.41,145.52,145.52,3576681
2024-05-31,145.78,146.43,142.57,144.93,144.93,3778585
2024-06-03,145.74,146.96,144.36,146.25,146.25,3843406
2024-06-04,145.82,147.92,145.44,147.08,147.08,3048535
2024-06-05,147.98,148.7,145.141,145.78,145.78,3121512
2024-06-06,145.51,148.79,145.155,147,147,3463102
2024-06-07,146.2,147.03,145.38,146.66,146.66,2595555
2024-06-10,146.01,148.32,146,148.07,148.07,3080317
2024-06-11,147.97,148.795,146.48,147.75,147.75,3285755
2024-06-12,149.99,150.29,148.621,149.32,149.32,3579847
2024-06-13,148.99,149,143.73,146.1,146.1,4450397
2024-06-14,145.5,146.05,144.28,145.97,145.97,2754612
2024-06-17,147,150.12,146.775,149.5,149.5,5158771
2024-06-18,149.9,150.549,146.9,147.29,147.29,3316730
2024-06-20,147.77,149.75,147.6,147.88,147.88,2874248
2024-06-21,148.76,150,147.25,149.57,149.57,7648402
2024-06-24,149.15,150.04,146.71,148.39,148.39,4530892
2024-06-25,148.97,151.275,148.85,150.91,150.91,5008296
2024-06-26,149.73,150.385,149.37,150,150,3797877
2024-06-27,150.46,151.88,149.39,151.61,151.61,3588639
2024-06-28,151.54,152.93,150.68,151.63,151.63,3842500
2024-07-01,152.2,152.2,149.14,151.63,151.63,2904962
2024-07-02,151.29,155.21,151.29,154.34,154.34,3526073
2024-07-03,153.91,154.43,152.3,152.73,152.73,1725631
2024-07-05,152.4,152.88,151.44,152.5,152.5,3836132
2024-07-08,152.65,154.2,150.755,151.96,151.96,3228334
2024-07-09,152.92,155.66,151.965,152.45,152.45,4329182
2024-07-10,153.11,153.2,150.09,151.84,151.84,3263527
2024-07-11,150.55,152,144.13,146,146,6289510
2024-07-12,146.83,148,146.19,146.78,146.78,2923457
2024-07-15,145.88,148.47,144.75,147.22,147.22,3546065
2024-07-16,148.47,151.64,147.88,151.26,151.26,4079268
2024-07-17,149.24,150.1,147.26,148,148,3242315
2024-07-18,148.17,150.145,146.75,146.88,146.88,3593705
2024-07-19,147.03,149.16,147.03,147.99,147.99,3131618
2024-07-22,148.14,150.37,146.55,150.18,150.18,3672064
2024-07-23,150.56,151.25,147.83,148.75,148.75,2676905
2024-07-24,146.73,147.11,142.98,144.23,144.23,5461901
2024-07-25,141.25,141.945,137.58,140.03,140.03,5626549
2024-07-26,141.9,141.91,139.03,140.1,140.1,5101418
2024-07-29,141.24,142.4299,140,140.29,140.29,2723157
2024-07-30,140.65,140.99,137.9,138.99,138.99,2996153
2024-07-31,140.79,141.2199,139.1,139.56,139.56,3331392
2024-08-01,139.7,139.78,132.9,135.09,135.09,5166851
2024-08-02,129.31,129.6,126.5,128.23,128.23,7745494
2024-08-05,123.77,125.95,122.06,125.31,125.31,7521889
2024-08-06,126.905,131.45,126.3,130.47,130.47,11148440
2024-08-07,112.44,115.55,110.38,113.01,113.01,29027859
2024-08-08,113.98,116.43,112.42,114.64,114.64,8006214
2024-08-09,114.465,116.26,112.6,115.08,115.08,4764351
2024-08-12,115.48,115.5,113.27,113.62,113.62,3980998
2024-08-13,114.39,117.77,114.05,116.9,116.9,4662047
2024-08-14,117.72,118.74,116.18,116.24,116.24,3504796
2024-08-15,118.195,119.133,116.37,118.88,118.88,5266295
2024-08-16,117.9,118.8,116.22,116.31,116.31,4592024
2024-08-19,116.93,119.3,116.44,119.14,119.14,4184729
2024-08-20,118.94,119.28,117.175,117.38,117.38,3940048
2024-08-21,118.04,118.27,116.7,117.68,117.68,5028525
2024-08-22,117.68,118.395,115.3,115.45,115.45,4875497
2024-08-23,116.64,118.7,116.37,116.85,116.85,4998414
2024-08-26,116.85,117.39,115.35,115.71,115.71,4948158
2024-08-27,115.3,117.42,115.17,116.74,116.74,3457429
2024-08-28,116,117.73,115.76,117.53,117.53,3463705
2024-08-29,118.17,119.38,116.42,116.6,116.6,3330982
2024-08-30,116.94,118.05,116.29,117.31,117.31,3279531
2024-09-03,116.395,117.835,114.13,114.98,114.98,4677100
2024-09-04,114.27,115.99,114.19,115.21,115.21,3281564
2024-09-05,114.64,116.45,114.6,116.16,116.16,3593436
2024-09-06,116.37,117.26,113.24,114.28,114.28,4072379
2024-09-09,115.11,117.92,114.985,116.36,116.36,4178558
2024-09-10,117.01,117.4063,112.86,115.12,115.12,4080373
2024-09-11,115.09,116.17,112.55,115.96,115.96,3644976
2024-09-12,116.33,117.38,115.05,117.36,117.36,3076184
2024-09-13,117.75,119.21,117.15,117.75,117.75,3514203
2024-09-16,117.99,118.3,116.16,117.55,117.55,3229853
2024-09-17,119.87,124.74,119.485,122.12,122.12,6323569
2024-09-18,122.32,125.66,122,122.42,122.42,3861293
2024-09-19,127.93,131.35,127.44,128.75,128.75,7691622
2024-09-20,129.83,131.95,129.03,131.18,131.18,12476320
2024-09-23,131.5,131.64,128.9,129.03,129.03,3682591
2024-09-24,130.58,131.67,129.59,131.48,131.48,4189105
2024-09-25,131.31,131.9,130.3,130.71,130.71,2310696
2024-09-26,132.706,133.34,129.146,129.25,129.25,3825948
2024-09-27,130.16,130.31,128.17,128.25,128.25,2525697
2024-09-30,127.32,128.23,125.92,126.81,126.81,3810992
2024-10-01,127.35,128.2,123.71,125.47,125.47,3895531
2024-10-02,125.33,126.44,124.55,126.18,126.18,2707663
2024-10-03,124.6,125.555,123.58,125.29,125.29,2246999
2024-10-04,128.42,129.93,127.27,129.85,129.85,2988440
2024-10-07,129.085,131.31,128.77,130.23,130.23,2847769
2024-10-08,130.15,134.43,130.15,132.5,132.5,3304421
2024-10-09,133.4,135.76,132.84,135.49,135.49,3731800
2024-10-10,135.55,136.37,132.52,132.81,132.81,3060026
2024-10-11,132.3,135.355,132.3,134.4,134.4,2714747
2024-10-14,133.97,134.98,133.42,134.79,134.79,2313963
2024-10-15,133.51,134,132.3,133.27,133.27,3502678
2024-10-16,134.73,137.395,134.32,135.15,135.15,3691540
2024-10-17,135.7,136.65,135.11,136.02,136.02,3813990
2024-10-18,136.81,136.89,135.16,136.45,136.45,2391131
2024-10-21,135.66,137.99,135.13,137.19,137.19,2900530
2024-10-22,136.11,136.35,135.3316,135.59,135.59,2408385
2024-10-23,135,136.2,131.27,131.92,131.92,3444561
2024-10-24,133.55,133.75,131.66,132.75,132.75,2678040
2024-10-25,133.38,135.28,133.17,134.58,134.58,2552060
2024-10-28,136.3,137.3,135.4,135.78,135.78,3260682
2024-10-29,135.33,138.35,135.2438,137.78,137.78,2871886
2024-10-30,136.47,138.66,136.31,136.5,136.5,3010462
2024-10-31,137.7,138.06,134.26,134.79,134.79,5049074
2024-11-01,133.96,136.88,133.8052,136.46,136.46,3707590
2024-11-04,136.23,137.55,135.45,136.87,136.87,2459746
2024-11-05,137.55,140.87,137.07,137.82,137.82,4989187
2024-11-06,141.98,142.95,139.41,140.91,140.91,5110922
2024-11-07,141.76,148.64,141.7,147.37,147.37,11988900
2024-11-08,134.67,137.71,132.76,134.61,134.61,19189000
2024-11-11,136,139.16,135.12,137.4,137.4,6535059
2024-11-12,135.65,136.12,133.13,133.2,133.2,6903453
2024-11-13,133.83,135.13,131.3305,132.76,132.76,4922621
2024-11-14,133.97,136.66,133.15,134.56,134.56,4777628
2024-11-15,134.2,134.53,131.31,132.5,132.5,4798719
2024-11-18,132.56,133.4499,131.58,132.19,132.19,4511595
2024-11-19,131.15,131.96,129.87,131.44,131.44,5172381
2024-11-20,130.22,135.38,130.22,135.25,135.25,5537419
2024-11-21,134.18,134.95,132.58,133.26,133.26,4061137
2024-11-22,133.3,140.76,133.3,137.34,137.34,6301100
2024-11-25,138.01,141,137.75,140.93,140.93,7930535
2024-11-26,140.78,141.75,139.18,139.67,139.67,3228419
2024-11-27,139.67,140.41,137.68,138.28,138.28,2657033
2024-11-29,138.53,139.53,135.8333,136.11,136.11,2664219

